開始訓練程序
開始訓練過程...
使用設備: cuda
配置數據轉換...
加載訓練集和驗證集...
訓練集大小: 63325個樣本
驗證集大小: 450個樣本
創建數據加載器...
訓練批次數: 990
驗證批次數: 8
初始化模型...
模型初始化完成
開始訓練循環...

==================================================
Epoch 1/20 開始
訓練階段:
  批次 10/990 | 損失: 4.1189 | 準確率: 2.81% | 處理時間: 0.22秒
  批次 20/990 | 損失: 4.1873 | 準確率: 2.42% | 處理時間: 0.22秒
  批次 30/990 | 損失: 4.2045 | 準確率: 2.97% | 處理時間: 0.26秒
  批次 40/990 | 損失: 3.8975 | 準確率: 3.59% | 處理時間: 0.22秒
  批次 50/990 | 損失: 3.8301 | 準確率: 3.91% | 處理時間: 0.22秒
  批次 60/990 | 損失: 3.8251 | 準確率: 4.51% | 處理時間: 0.22秒
  批次 70/990 | 損失: 3.8515 | 準確率: 4.55% | 處理時間: 0.22秒
  批次 80/990 | 損失: 3.8586 | 準確率: 4.98% | 處理時間: 0.25秒
  批次 90/990 | 損失: 3.8471 | 準確率: 5.23% | 處理時間: 0.23秒
  批次 100/990 | 損失: 3.4846 | 準確率: 5.69% | 處理時間: 0.22秒
  批次 110/990 | 損失: 3.7249 | 準確率: 6.08% | 處理時間: 0.22秒
  批次 120/990 | 損失: 3.8563 | 準確率: 6.18% | 處理時間: 0.22秒
  批次 130/990 | 損失: 3.5747 | 準確率: 6.45% | 處理時間: 0.23秒
  批次 140/990 | 損失: 3.4260 | 準確率: 6.66% | 處理時間: 0.23秒
  批次 150/990 | 損失: 3.5121 | 準確率: 6.88% | 處理時間: 0.22秒
  批次 160/990 | 損失: 3.3764 | 準確率: 6.98% | 處理時間: 0.22秒
  批次 170/990 | 損失: 3.5126 | 準確率: 7.20% | 處理時間: 0.22秒
  批次 180/990 | 損失: 3.4689 | 準確率: 7.39% | 處理時間: 0.22秒
  批次 190/990 | 損失: 3.3904 | 準確率: 7.48% | 處理時間: 0.22秒
  批次 200/990 | 損失: 3.4560 | 準確率: 7.70% | 處理時間: 0.22秒
  批次 210/990 | 損失: 3.3916 | 準確率: 7.86% | 處理時間: 0.22秒
  批次 220/990 | 損失: 3.3340 | 準確率: 7.91% | 處理時間: 0.22秒
  批次 230/990 | 損失: 3.4233 | 準確率: 8.09% | 處理時間: 0.22秒
  批次 240/990 | 損失: 3.2871 | 準確率: 8.23% | 處理時間: 0.22秒
  批次 250/990 | 損失: 3.3435 | 準確率: 8.31% | 處理時間: 0.22秒
  批次 260/990 | 損失: 3.3562 | 準確率: 8.47% | 處理時間: 0.22秒
  批次 270/990 | 損失: 3.0932 | 準確率: 8.55% | 處理時間: 0.26秒
  批次 280/990 | 損失: 3.4421 | 準確率: 8.69% | 處理時間: 0.22秒
  批次 290/990 | 損失: 3.2495 | 準確率: 8.74% | 處理時間: 0.22秒
  批次 300/990 | 損失: 3.4645 | 準確率: 8.86% | 處理時間: 0.21秒
  批次 310/990 | 損失: 3.1222 | 準確率: 8.95% | 處理時間: 0.22秒
  批次 320/990 | 損失: 3.3404 | 準確率: 9.14% | 處理時間: 0.26秒
  批次 330/990 | 損失: 3.3613 | 準確率: 9.29% | 處理時間: 0.23秒
  批次 340/990 | 損失: 3.3389 | 準確率: 9.38% | 處理時間: 0.23秒
  批次 350/990 | 損失: 3.1703 | 準確率: 9.53% | 處理時間: 0.22秒
  批次 360/990 | 損失: 3.4920 | 準確率: 9.66% | 處理時間: 0.21秒
  批次 370/990 | 損失: 3.2882 | 準確率: 9.71% | 處理時間: 0.26秒
  批次 380/990 | 損失: 3.1311 | 準確率: 9.80% | 處理時間: 0.21秒
  批次 390/990 | 損失: 3.0194 | 準確率: 9.88% | 處理時間: 0.22秒
  批次 400/990 | 損失: 3.2019 | 準確率: 9.95% | 處理時間: 0.22秒
  批次 410/990 | 損失: 3.2457 | 準確率: 10.00% | 處理時間: 0.22秒
  批次 420/990 | 損失: 3.0211 | 準確率: 10.07% | 處理時間: 0.26秒
  批次 430/990 | 損失: 3.2817 | 準確率: 10.19% | 處理時間: 0.22秒
  批次 440/990 | 損失: 3.3101 | 準確率: 10.29% | 處理時間: 0.22秒
  批次 450/990 | 損失: 3.1108 | 準確率: 10.35% | 處理時間: 0.22秒
  批次 460/990 | 損失: 3.2108 | 準確率: 10.39% | 處理時間: 0.22秒
  批次 470/990 | 損失: 3.4110 | 準確率: 10.49% | 處理時間: 0.23秒
  批次 480/990 | 損失: 3.1831 | 準確率: 10.56% | 處理時間: 0.22秒
  批次 490/990 | 損失: 3.1584 | 準確率: 10.66% | 處理時間: 0.22秒
  批次 500/990 | 損失: 3.5200 | 準確率: 10.72% | 處理時間: 0.22秒
  批次 510/990 | 損失: 3.2525 | 準確率: 10.79% | 處理時間: 0.26秒
  批次 520/990 | 損失: 3.1486 | 準確率: 10.89% | 處理時間: 0.23秒
  批次 530/990 | 損失: 3.0735 | 準確率: 10.97% | 處理時間: 0.22秒
  批次 540/990 | 損失: 2.9750 | 準確率: 11.07% | 處理時間: 0.22秒
  批次 550/990 | 損失: 2.6829 | 準確率: 11.19% | 處理時間: 0.22秒
  批次 560/990 | 損失: 3.0014 | 準確率: 11.29% | 處理時間: 0.26秒
  批次 570/990 | 損失: 2.8095 | 準確率: 11.40% | 處理時間: 0.22秒
  批次 580/990 | 損失: 3.1085 | 準確率: 11.49% | 處理時間: 0.22秒
  批次 590/990 | 損失: 2.9995 | 準確率: 11.59% | 處理時間: 0.23秒
