加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化WideCNN模型...
模型參數數量: 1,536,356
開始訓練 WideCNN 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:01<06:19,  1.77it/s, loss=3.7163, acc=4.14%, time=0.574s]
  批次 10/990 | 損失: 4.2745 | 準確率: 0.0219 | 批次時間: 0.476秒
  批次 20/990 | 損失: 4.1496 | 準確率: 0.0187 | 批次時間: 0.473秒
  批次 30/990 | 損失: 4.0914 | 準確率: 0.0182 | 批次時間: 0.572秒
  批次 40/990 | 損失: 4.0595 | 準確率: 0.0168 | 批次時間: 0.480秒
  批次 50/990 | 損失: 4.0378 | 準確率: 0.0169 | 批次時間: 0.481秒
  批次 60/990 | 損失: 4.0220 | 準確率: 0.0180 | 批次時間: 0.483秒
  批次 70/990 | 損失: 4.0085 | 準確率: 0.0208 | 批次時間: 0.488秒
  批次 80/990 | 損失: 3.9958 | 準確率: 0.0221 | 批次時間: 0.483秒
  批次 90/990 | 損失: 3.9876 | 準確率: 0.0227 | 批次時間: 0.479秒
  批次 100/990 | 損失: 3.9780 | 準確率: 0.0236 | 批次時間: 0.924秒
  批次 110/990 | 損失: 3.9665 | 準確率: 0.0247 | 批次時間: 0.482秒
  批次 120/990 | 損失: 3.9588 | 準確率: 0.0263 | 批次時間: 0.482秒
  批次 130/990 | 損失: 3.9516 | 準確率: 0.0280 | 批次時間: 0.477秒
  批次 140/990 | 損失: 3.9426 | 準確率: 0.0291 | 批次時間: 0.482秒
  批次 150/990 | 損失: 3.9353 | 準確率: 0.0299 | 批次時間: 0.474秒
  批次 160/990 | 損失: 3.9272 | 準確率: 0.0319 | 批次時間: 0.573秒
  批次 170/990 | 損失: 3.9196 | 準確率: 0.0328 | 批次時間: 0.475秒
  批次 180/990 | 損失: 3.9145 | 準確率: 0.0342 | 批次時間: 0.483秒
  批次 190/990 | 損失: 3.9092 | 準確率: 0.0345 | 批次時間: 0.522秒
  批次 200/990 | 損失: 3.9047 | 準確率: 0.0352 | 批次時間: 0.548秒
  批次 210/990 | 損失: 3.9002 | 準確率: 0.0353 | 批次時間: 0.477秒
  批次 220/990 | 損失: 3.8929 | 準確率: 0.0363 | 批次時間: 0.478秒
  批次 230/990 | 損失: 3.8885 | 準確率: 0.0366 | 批次時間: 0.486秒
  批次 240/990 | 損失: 3.8857 | 準確率: 0.0368 | 批次時間: 0.491秒
  批次 250/990 | 損失: 3.8807 | 準確率: 0.0374 | 批次時間: 0.483秒
  批次 260/990 | 損失: 3.8767 | 準確率: 0.0377 | 批次時間: 0.487秒
  批次 270/990 | 損失: 3.8741 | 準確率: 0.0384 | 批次時間: 0.484秒
  批次 280/990 | 損失: 3.8696 | 準確率: 0.0395 | 批次時間: 0.481秒
  批次 290/990 | 損失: 3.8670 | 準確率: 0.0400 | 批次時間: 0.573秒
  批次 300/990 | 損失: 3.8652 | 準確率: 0.0401 | 批次時間: 0.562秒
  批次 310/990 | 損失: 3.8614 | 準確率: 0.0410 | 批次時間: 0.479秒
  批次 320/990 | 損失: 3.8585 | 準確率: 0.0414 | 批次時間: 0.574秒
  批次 330/990 | 損失: 3.8537 | 準確率: 0.0420 | 批次時間: 0.485秒
  批次 340/990 | 損失: 3.8506 | 準確率: 0.0420 | 批次時間: 0.484秒
  批次 350/990 | 損失: 3.8467 | 準確率: 0.0428 | 批次時間: 0.485秒
  批次 360/990 | 損失: 3.8433 | 準確率: 0.0437 | 批次時間: 0.474秒
  批次 370/990 | 損失: 3.8400 | 準確率: 0.0444 | 批次時間: 0.471秒
  批次 380/990 | 損失: 3.8383 | 準確率: 0.0445 | 批次時間: 0.484秒
  批次 390/990 | 損失: 3.8366 | 準確率: 0.0449 | 批次時間: 0.486秒
  批次 400/990 | 損失: 3.8333 | 準確率: 0.0451 | 批次時間: 0.554秒
  批次 410/990 | 損失: 3.8308 | 準確率: 0.0455 | 批次時間: 0.479秒
  批次 420/990 | 損失: 3.8281 | 準確率: 0.0458 | 批次時間: 0.493秒
  批次 430/990 | 損失: 3.8251 | 準確率: 0.0465 | 批次時間: 0.474秒
  批次 440/990 | 損失: 3.8231 | 準確率: 0.0468 | 批次時間: 0.480秒
  批次 450/990 | 損失: 3.8204 | 準確率: 0.0473 | 批次時間: 0.572秒
  批次 460/990 | 損失: 3.8177 | 準確率: 0.0479 | 批次時間: 0.480秒
  批次 470/990 | 損失: 3.8153 | 準確率: 0.0482 | 批次時間: 0.485秒
  批次 480/990 | 損失: 3.8136 | 準確率: 0.0484 | 批次時間: 0.572秒
  批次 490/990 | 損失: 3.8107 | 準確率: 0.0488 | 批次時間: 0.487秒
  批次 500/990 | 損失: 3.8087 | 準確率: 0.0492 | 批次時間: 0.558秒
  批次 510/990 | 損失: 3.8063 | 準確率: 0.0498 | 批次時間: 0.477秒
  批次 520/990 | 損失: 3.8046 | 準確率: 0.0501 | 批次時間: 0.484秒
  批次 530/990 | 損失: 3.8020 | 準確率: 0.0504 | 批次時間: 0.491秒
  批次 540/990 | 損失: 3.7994 | 準確率: 0.0505 | 批次時間: 0.478秒
  批次 550/990 | 損失: 3.7971 | 準確率: 0.0507 | 批次時間: 0.471秒
  批次 560/990 | 損失: 3.7955 | 準確率: 0.0511 | 批次時間: 0.488秒
  批次 570/990 | 損失: 3.7930 | 準確率: 0.0513 | 批次時間: 0.479秒
  批次 580/990 | 損失: 3.7911 | 準確率: 0.0513 | 批次時間: 0.522秒
  批次 590/990 | 損失: 3.7884 | 準確率: 0.0519 | 批次時間: 0.488秒
  批次 600/990 | 損失: 3.7868 | 準確率: 0.0521 | 批次時間: 0.559秒
  批次 610/990 | 損失: 3.7843 | 準確率: 0.0526 | 批次時間: 0.572秒
  批次 620/990 | 損失: 3.7821 | 準確率: 0.0531 | 批次時間: 0.573秒
  批次 630/990 | 損失: 3.7803 | 準確率: 0.0531 | 批次時間: 0.487秒
  批次 640/990 | 損失: 3.7781 | 準確率: 0.0536 | 批次時間: 0.478秒
  批次 650/990 | 損失: 3.7758 | 準確率: 0.0539 | 批次時間: 0.481秒
  批次 660/990 | 損失: 3.7738 | 準確率: 0.0543 | 批次時間: 0.482秒
  批次 670/990 | 損失: 3.7720 | 準確率: 0.0548 | 批次時間: 0.508秒
  批次 680/990 | 損失: 3.7700 | 準確率: 0.0551 | 批次時間: 0.484秒
  批次 690/990 | 損失: 3.7687 | 準確率: 0.0550 | 批次時間: 0.481秒
  批次 700/990 | 損失: 3.7667 | 準確率: 0.0549 | 批次時間: 0.577秒
  批次 710/990 | 損失: 3.7645 | 準確率: 0.0554 | 批次時間: 0.573秒
  批次 720/990 | 損失: 3.7631 | 準確率: 0.0555 | 批次時間: 0.476秒
  批次 730/990 | 損失: 3.7612 | 準確率: 0.0559 | 批次時間: 0.477秒
  批次 740/990 | 損失: 3.7595 | 準確率: 0.0561 | 批次時間: 0.475秒
  批次 750/990 | 損失: 3.7577 | 準確率: 0.0564 | 批次時間: 0.482秒
  批次 760/990 | 損失: 3.7554 | 準確率: 0.0571 | 批次時間: 0.572秒
  批次 770/990 | 損失: 3.7537 | 準確率: 0.0573 | 批次時間: 0.486秒
  批次 780/990 | 損失: 3.7511 | 準確率: 0.0576 | 批次時間: 0.479秒
  批次 790/990 | 損失: 3.7498 | 準確率: 0.0579 | 批次時間: 0.488秒
  批次 800/990 | 損失: 3.7484 | 準確率: 0.0582 | 批次時間: 0.553秒
  批次 810/990 | 損失: 3.7466 | 準確率: 0.0585 | 批次時間: 0.488秒
  批次 820/990 | 損失: 3.7448 | 準確率: 0.0588 | 批次時間: 0.478秒
  批次 830/990 | 損失: 3.7427 | 準確率: 0.0593 | 批次時間: 0.473秒
  批次 840/990 | 損失: 3.7412 | 準確率: 0.0594 | 批次時間: 0.488秒
  批次 850/990 | 損失: 3.7403 | 準確率: 0.0597 | 批次時間: 0.476秒
  批次 860/990 | 損失: 3.7391 | 準確率: 0.0598 | 批次時間: 0.471秒
  批次 870/990 | 損失: 3.7374 | 準確率: 0.0602 | 批次時間: 0.573秒
  批次 880/990 | 損失: 3.7358 | 準確率: 0.0605 | 批次時間: 0.477秒
  批次 890/990 | 損失: 3.7343 | 準確率: 0.0608 | 批次時間: 0.484秒
  批次 900/990 | 損失: 3.7332 | 準確率: 0.0610 | 批次時間: 0.646秒
  批次 910/990 | 損失: 3.7312 | 準確率: 0.0613 | 批次時間: 0.473秒
  批次 920/990 | 損失: 3.7291 | 準確率: 0.0616 | 批次時間: 0.485秒
  批次 930/990 | 損失: 3.7273 | 準確率: 0.0620 | 批次時間: 0.474秒
  批次 940/990 | 損失: 3.7257 | 準確率: 0.0623 | 批次時間: 0.483秒
  批次 950/990 | 損失: 3.7239 | 準確率: 0.0627 | 批次時間: 0.483秒
  批次 960/990 | 損失: 3.7225 | 準確率: 0.0631 | 批次時間: 0.483秒
  批次 970/990 | 損失: 3.7206 | 準確率: 0.0633 | 批次時間: 0.479秒
  批次 980/990 | 損失: 3.7193 | 準確率: 0.0635 | 批次時間: 0.482秒
  批次 990/990 | 損失: 3.7179 | 準確率: 0.0638 | 批次時間: 0.147秒
訓練階段完成 | 平均損失: 3.7179 | 準確率: 0.0638 | 平均批次時間: 0.494秒 | 總時間: 560.67秒

驗證階段:
驗證 Epoch 1/20: 100%|████████████████████████| 8/8 [00:01<00:00,  4.97it/s, loss=1.7181, acc=10.44%]
  驗證批次 8/8 | 當前準確率: 0.1044
驗證階段完成 | 平均損失: 3.3174 | 準確率: 0.1044 | 耗時: 1.61秒
發現更好的模型! 保存到 checkpoints/wide_cnn_best.pth
新的最佳驗證準確率: 0.1044
Epoch 1/20 完成 | 總耗時: 562.29秒 | 當前最佳準確率: 0.1044

============================================================
Epoch 2/20 開始
訓練階段:
訓練 Epoch 2/20:  32%|██▎    | 319/990 [03:01<06:08,  1.82it/s, loss=3.3995, acc=10.03%, time=0.487s]
  批次 10/990 | 損失: 3.5665 | 準確率: 0.0875 | 批次時間: 0.542秒
  批次 20/990 | 損失: 3.5571 | 準確率: 0.0828 | 批次時間: 0.481秒
  批次 30/990 | 損失: 3.5592 | 準確率: 0.0849 | 批次時間: 0.486秒
  批次 40/990 | 損失: 3.5628 | 準確率: 0.0871 | 批次時間: 0.486秒
  批次 50/990 | 損失: 3.5625 | 準確率: 0.0856 | 批次時間: 0.484秒
  批次 60/990 | 損失: 3.5638 | 準確率: 0.0878 | 批次時間: 0.481秒
  批次 70/990 | 損失: 3.5596 | 準確率: 0.0906 | 批次時間: 0.483秒
  批次 80/990 | 損失: 3.5605 | 準確率: 0.0918 | 批次時間: 0.489秒
  批次 90/990 | 損失: 3.5595 | 準確率: 0.0913 | 批次時間: 0.475秒
  批次 100/990 | 損失: 3.5561 | 準確率: 0.0922 | 批次時間: 0.573秒
  批次 110/990 | 損失: 3.5548 | 準確率: 0.0928 | 批次時間: 0.545秒
  批次 120/990 | 損失: 3.5548 | 準確率: 0.0926 | 批次時間: 0.471秒
  批次 130/990 | 損失: 3.5505 | 準確率: 0.0942 | 批次時間: 0.574秒
  批次 140/990 | 損失: 3.5513 | 準確率: 0.0952 | 批次時間: 0.477秒
  批次 150/990 | 損失: 3.5542 | 準確率: 0.0956 | 批次時間: 0.487秒
  批次 160/990 | 損失: 3.5535 | 準確率: 0.0961 | 批次時間: 0.466秒
  批次 170/990 | 損失: 3.5479 | 準確率: 0.0986 | 批次時間: 0.477秒
  批次 180/990 | 損失: 3.5463 | 準確率: 0.0977 | 批次時間: 0.478秒
  批次 190/990 | 損失: 3.5421 | 準確率: 0.0977 | 批次時間: 0.486秒
  批次 200/990 | 損失: 3.5388 | 準確率: 0.0982 | 批次時間: 0.489秒
  批次 210/990 | 損失: 3.5381 | 準確率: 0.0981 | 批次時間: 0.548秒
  批次 220/990 | 損失: 3.5369 | 準確率: 0.0986 | 批次時間: 0.483秒
  批次 230/990 | 損失: 3.5375 | 準確率: 0.0979 | 批次時間: 0.475秒
  批次 240/990 | 損失: 3.5386 | 準確率: 0.0975 | 批次時間: 0.477秒
  批次 250/990 | 損失: 3.5364 | 準確率: 0.0975 | 批次時間: 0.481秒
  批次 260/990 | 損失: 3.5353 | 準確率: 0.0980 | 批次時間: 0.544秒
  批次 270/990 | 損失: 3.5330 | 準確率: 0.0977 | 批次時間: 0.488秒
  批次 280/990 | 損失: 3.5303 | 準確率: 0.0975 | 批次時間: 0.473秒
  批次 290/990 | 損失: 3.5290 | 準確率: 0.0984 | 批次時間: 0.572秒
  批次 300/990 | 損失: 3.5293 | 準確率: 0.0988 | 批次時間: 0.490秒
  批次 310/990 | 損失: 3.5267 | 準確率: 0.1000 | 批次時間: 0.537秒
  批次 320/990 | 損失: 3.5259 | 準確率: 0.1003 | 批次時間: 0.487秒
  批次 330/990 | 損失: 3.5242 | 準確率: 0.1004 | 批次時間: 0.475秒
  批次 340/990 | 損失: 3.5227 | 準確率: 0.1005 | 批次時間: 0.480秒
  批次 350/990 | 損失: 3.5212 | 準確率: 0.1009 | 批次時間: 0.479秒
  批次 360/990 | 損失: 3.5204 | 準確率: 0.1011 | 批次時間: 0.478秒
  批次 370/990 | 損失: 3.5196 | 準確率: 0.1017 | 批次時間: 0.484秒
  批次 380/990 | 損失: 3.5158 | 準確率: 0.1028 | 批次時間: 0.568秒
  批次 390/990 | 損失: 3.5161 | 準確率: 0.1024 | 批次時間: 0.486秒
  批次 400/990 | 損失: 3.5150 | 準確率: 0.1024 | 批次時間: 0.483秒
  批次 410/990 | 損失: 3.5153 | 準確率: 0.1024 | 批次時間: 0.549秒
  批次 420/990 | 損失: 3.5140 | 準確率: 0.1025 | 批次時間: 0.489秒
  批次 430/990 | 損失: 3.5122 | 準確率: 0.1026 | 批次時間: 0.482秒
  批次 440/990 | 損失: 3.5116 | 準確率: 0.1027 | 批次時間: 0.486秒
  批次 450/990 | 損失: 3.5101 | 準確率: 0.1031 | 批次時間: 0.476秒
  批次 460/990 | 損失: 3.5092 | 準確率: 0.1034 | 批次時間: 0.478秒
  批次 470/990 | 損失: 3.5078 | 準確率: 0.1037 | 批次時間: 0.573秒
  批次 480/990 | 損失: 3.5075 | 準確率: 0.1038 | 批次時間: 0.572秒
  批次 490/990 | 損失: 3.5066 | 準確率: 0.1042 | 批次時間: 0.479秒
  批次 500/990 | 損失: 3.5061 | 準確率: 0.1043 | 批次時間: 0.481秒
  批次 510/990 | 損失: 3.5036 | 準確率: 0.1047 | 批次時間: 0.663秒
  批次 520/990 | 損失: 3.5025 | 準確率: 0.1050 | 批次時間: 0.487秒
  批次 530/990 | 損失: 3.5008 | 準確率: 0.1054 | 批次時間: 0.470秒
  批次 540/990 | 損失: 3.4993 | 準確率: 0.1055 | 批次時間: 0.573秒
  批次 550/990 | 損失: 3.4982 | 準確率: 0.1057 | 批次時間: 0.475秒
  批次 560/990 | 損失: 3.4973 | 準確率: 0.1059 | 批次時間: 0.483秒
  批次 570/990 | 損失: 3.4972 | 準確率: 0.1059 | 批次時間: 0.572秒
  批次 580/990 | 損失: 3.4958 | 準確率: 0.1062 | 批次時間: 0.478秒
  批次 590/990 | 損失: 3.4950 | 準確率: 0.1062 | 批次時間: 0.489秒
  批次 600/990 | 損失: 3.4929 | 準確率: 0.1064 | 批次時間: 0.572秒
  批次 610/990 | 損失: 3.4915 | 準確率: 0.1064 | 批次時間: 0.547秒
  批次 620/990 | 損失: 3.4910 | 準確率: 0.1068 | 批次時間: 0.486秒
