加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化dynamic_conv模型...
模型參數數量: 1,536,356
開始訓練 dynamic_conv 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:05<06:30,  1.72it/s, loss=3.6956, acc=4.00%, time=0.485s]
 批次 10/990 | 損失: 4.2886 | 準確率: 0.0234 | 批次時間: 0.562秒
 批次 20/990 | 損失: 4.1458 | 準確率: 0.0203 | 批次時間: 0.487秒
 批次 30/990 | 損失: 4.0938 | 準確率: 0.0214 | 批次時間: 0.476秒
 批次 40/990 | 損失: 4.0583 | 準確率: 0.0219 | 批次時間: 0.473秒
 批次 50/990 | 損失: 4.0379 | 準確率: 0.0213 | 批次時間: 0.481秒
 批次 60/990 | 損失: 4.0199 | 準確率: 0.0221 | 批次時間: 0.475秒
 批次 70/990 | 損失: 4.0090 | 準確率: 0.0214 | 批次時間: 0.476秒
 批次 80/990 | 損失: 3.9971 | 準確率: 0.0221 | 批次時間: 0.488秒
 批次 90/990 | 損失: 3.9861 | 準確率: 0.0224 | 批次時間: 0.486秒
 批次 100/990 | 損失: 3.9756 | 準確率: 0.0241 | 批次時間: 0.983秒
 批次 110/990 | 損失: 3.9648 | 準確率: 0.0260 | 批次時間: 0.485秒
 批次 120/990 | 損失: 3.9537 | 準確率: 0.0259 | 批次時間: 0.488秒
 批次 130/990 | 損失: 3.9453 | 準確率: 0.0267 | 批次時間: 0.574秒
 批次 140/990 | 損失: 3.9359 | 準確率: 0.0285 | 批次時間: 0.576秒
 批次 150/990 | 損失: 3.9257 | 準確率: 0.0300 | 批次時間: 0.484秒
 批次 160/990 | 損失: 3.9179 | 準確率: 0.0305 | 批次時間: 0.489秒
 批次 170/990 | 損失: 3.9104 | 準確率: 0.0318 | 批次時間: 0.576秒
 批次 180/990 | 損失: 3.9088 | 準確率: 0.0322 | 批次時間: 0.487秒
 批次 190/990 | 損失: 3.9057 | 準確率: 0.0326 | 批次時間: 0.484秒
 批次 200/990 | 損失: 3.9009 | 準確率: 0.0333 | 批次時間: 0.654秒
 批次 210/990 | 損失: 3.8967 | 準確率: 0.0336 | 批次時間: 0.487秒
 批次 220/990 | 損失: 3.8924 | 準確率: 0.0336 | 批次時間: 0.537秒
 批次 230/990 | 損失: 3.8866 | 準確率: 0.0345 | 批次時間: 0.488秒
 批次 240/990 | 損失: 3.8830 | 準確率: 0.0352 | 批次時間: 0.573秒
 批次 250/990 | 損失: 3.8775 | 準確率: 0.0356 | 批次時間: 0.484秒
 批次 260/990 | 損失: 3.8732 | 準確率: 0.0359 | 批次時間: 0.566秒
 批次 270/990 | 損失: 3.8664 | 準確率: 0.0370 | 批次時間: 0.486秒
 批次 280/990 | 損失: 3.8635 | 準確率: 0.0372 | 批次時間: 0.476秒
 批次 290/990 | 損失: 3.8597 | 準確率: 0.0377 | 批次時間: 0.471秒
 批次 300/990 | 損失: 3.8560 | 準確率: 0.0383 | 批次時間: 0.557秒
 批次 310/990 | 損失: 3.8509 | 準確率: 0.0391 | 批次時間: 0.486秒
 批次 320/990 | 損失: 3.8465 | 準確率: 0.0400 | 批次時間: 0.485秒
 批次 330/990 | 損失: 3.8434 | 準確率: 0.0407 | 批次時間: 0.474秒
 批次 340/990 | 損失: 3.8403 | 準確率: 0.0413 | 批次時間: 0.572秒
 批次 350/990 | 損失: 3.8368 | 準確率: 0.0423 | 批次時間: 0.573秒
 批次 360/990 | 損失: 3.8341 | 準確率: 0.0428 | 批次時間: 0.575秒
 批次 370/990 | 損失: 3.8305 | 準確率: 0.0438 | 批次時間: 0.469秒
 批次 380/990 | 損失: 3.8291 | 準確率: 0.0443 | 批次時間: 0.475秒
 批次 390/990 | 損失: 3.8272 | 準確率: 0.0446 | 批次時間: 0.574秒
 批次 400/990 | 損失: 3.8237 | 準確率: 0.0449 | 批次時間: 0.565秒
 批次 410/990 | 損失: 3.8213 | 準確率: 0.0458 | 批次時間: 0.486秒
 批次 420/990 | 損失: 3.8180 | 準確率: 0.0462 | 批次時間: 0.575秒
 批次 430/990 | 損失: 3.8155 | 準確率: 0.0465 | 批次時間: 0.474秒
 批次 440/990 | 損失: 3.8126 | 準確率: 0.0472 | 批次時間: 0.487秒
