加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化wide_cnn模型...
模型參數數量: 21,335,972
開始訓練 wide_cnn 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [00:39<01:20,  8.39it/s, loss=3.4675, acc=5.39%, time=0.034s]
 批次 10/990 | 損失: 4.6367 | 準確率: 0.0203 | 批次時間: 0.034秒
 批次 20/990 | 損失: 4.4789 | 準確率: 0.0156 | 批次時間: 0.034秒
 批次 30/990 | 損失: 4.3780 | 準確率: 0.0172 | 批次時間: 0.034秒
 批次 40/990 | 損失: 4.3119 | 準確率: 0.0215 | 批次時間: 0.034秒
 批次 50/990 | 損失: 4.2542 | 準確率: 0.0222 | 批次時間: 0.034秒
 批次 60/990 | 損失: 4.2291 | 準確率: 0.0247 | 批次時間: 0.034秒
 批次 70/990 | 損失: 4.1947 | 準確率: 0.0263 | 批次時間: 0.034秒
 批次 80/990 | 損失: 4.1644 | 準確率: 0.0289 | 批次時間: 0.034秒
 批次 90/990 | 損失: 4.1459 | 準確率: 0.0286 | 批次時間: 0.034秒
 批次 100/990 | 損失: 4.1166 | 準確率: 0.0302 | 批次時間: 0.526秒
 批次 110/990 | 損失: 4.0975 | 準確率: 0.0315 | 批次時間: 0.034秒
 批次 120/990 | 損失: 4.0836 | 準確率: 0.0319 | 批次時間: 0.034秒
 批次 130/990 | 損失: 4.0621 | 準確率: 0.0344 | 批次時間: 0.034秒
 批次 140/990 | 損失: 4.0453 | 準確率: 0.0364 | 批次時間: 0.034秒
 批次 150/990 | 損失: 4.0300 | 準確率: 0.0373 | 批次時間: 0.034秒
 批次 160/990 | 損失: 4.0133 | 準確率: 0.0391 | 批次時間: 0.034秒
 批次 170/990 | 損失: 4.0053 | 準確率: 0.0394 | 批次時間: 0.034秒
 批次 180/990 | 損失: 3.9919 | 準確率: 0.0406 | 批次時間: 0.034秒
 批次 190/990 | 損失: 3.9764 | 準確率: 0.0427 | 批次時間: 0.034秒
 批次 200/990 | 損失: 3.9679 | 準確率: 0.0435 | 批次時間: 0.251秒
 批次 210/990 | 損失: 3.9567 | 準確率: 0.0451 | 批次時間: 0.034秒
 批次 220/990 | 損失: 3.9476 | 準確率: 0.0458 | 批次時間: 0.034秒
 批次 230/990 | 損失: 3.9376 | 準確率: 0.0466 | 批次時間: 0.034秒
 批次 240/990 | 損失: 3.9282 | 準確率: 0.0473 | 批次時間: 0.034秒
 批次 250/990 | 損失: 3.9175 | 準確率: 0.0486 | 批次時間: 0.034秒
 批次 260/990 | 損失: 3.9092 | 準確率: 0.0495 | 批次時間: 0.034秒
 批次 270/990 | 損失: 3.9009 | 準確率: 0.0499 | 批次時間: 0.034秒
