加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化resnet34模型...
模型參數數量: 21,335,972
開始訓練 resnet34 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  20%|█████████████████████████▉                                                                                                       | 199/990 [00:26<01:44,  7.58it/s, loss=3.4864, acc=7.31%, time=0.115s]
 批次 10/990 | 損失: 4.3961 | 準確率: 0.0344 | 批次時間: 0.115秒
 批次 20/990 | 損失: 4.2537 | 準確率: 0.0258 | 批次時間: 0.115秒
 批次 30/990 | 損失: 4.2043 | 準確率: 0.0307 | 批次時間: 0.115秒
 批次 40/990 | 損失: 4.1577 | 準確率: 0.0340 | 批次時間: 0.114秒
 批次 50/990 | 損失: 4.1154 | 準確率: 0.0394 | 批次時間: 0.115秒
 批次 60/990 | 損失: 4.0922 | 準確率: 0.0417 | 批次時間: 0.114秒
 批次 70/990 | 損失: 4.0620 | 準確率: 0.0460 | 批次時間: 0.114秒
 批次 80/990 | 損失: 4.0238 | 準確率: 0.0473 | 批次時間: 0.115秒
 批次 90/990 | 損失: 3.9945 | 準確率: 0.0500 | 批次時間: 0.115秒
 批次 100/990 | 損失: 3.9621 | 準確率: 0.0539 | 批次時間: 0.924秒
 批次 110/990 | 損失: 3.9290 | 準確率: 0.0568 | 批次時間: 0.115秒
 批次 120/990 | 損失: 3.9024 | 準確率: 0.0585 | 批次時間: 0.115秒
 批次 130/990 | 損失: 3.8805 | 準確率: 0.0603 | 批次時間: 0.115秒
 批次 140/990 | 損失: 3.8544 | 準確率: 0.0618 | 批次時間: 0.115秒
 批次 150/990 | 損失: 3.8300 | 準確率: 0.0642 | 批次時間: 0.115秒
 批次 160/990 | 損失: 3.8061 | 準確率: 0.0660 | 批次時間: 0.115秒
 批次 170/990 | 損失: 3.7865 | 準確率: 0.0677 | 批次時間: 0.115秒
 批次 180/990 | 損失: 3.7721 | 準確率: 0.0687 | 批次時間: 0.115秒
 批次 190/990 | 損失: 3.7500 | 準確率: 0.0715 | 批次時間: 0.115秒
