加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化resnet34模型...
模型參數數量: 21,335,972
開始訓練 resnet34 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|█████████████████████████████████████████▌                                                                                       | 319/990 [00:41<01:19,  8.39it/s, loss=3.4018, acc=7.69%, time=0.118s]
 批次 10/990 | 損失: 4.5982 | 準確率: 0.0187 | 批次時間: 0.116秒
 批次 20/990 | 損失: 4.2909 | 準確率: 0.0281 | 批次時間: 0.117秒
 批次 30/990 | 損失: 4.1741 | 準確率: 0.0302 | 批次時間: 0.117秒
 批次 40/990 | 損失: 4.0813 | 準確率: 0.0375 | 批次時間: 0.117秒
 批次 50/990 | 損失: 4.0220 | 準確率: 0.0431 | 批次時間: 0.117秒
 批次 60/990 | 損失: 3.9676 | 準確率: 0.0469 | 批次時間: 0.117秒
 批次 70/990 | 損失: 3.9302 | 準確率: 0.0513 | 批次時間: 0.117秒
 批次 80/990 | 損失: 3.8991 | 準確率: 0.0531 | 批次時間: 0.117秒
 批次 90/990 | 損失: 3.8772 | 準確率: 0.0540 | 批次時間: 0.117秒
 批次 100/990 | 損失: 3.8609 | 準確率: 0.0547 | 批次時間: 0.905秒
 批次 110/990 | 損失: 3.8443 | 準確率: 0.0557 | 批次時間: 0.117秒
 批次 120/990 | 損失: 3.8273 | 準確率: 0.0582 | 批次時間: 0.117秒
 批次 130/990 | 損失: 3.8170 | 準確率: 0.0587 | 批次時間: 0.117秒
 批次 140/990 | 損失: 3.8045 | 準確率: 0.0604 | 批次時間: 0.117秒
 批次 150/990 | 損失: 3.7970 | 準確率: 0.0610 | 批次時間: 0.117秒
 批次 160/990 | 損失: 3.7872 | 準確率: 0.0625 | 批次時間: 0.117秒
 批次 170/990 | 損失: 3.7721 | 準確率: 0.0639 | 批次時間: 0.117秒
 批次 180/990 | 損失: 3.7602 | 準確率: 0.0663 | 批次時間: 0.117秒
 批次 190/990 | 損失: 3.7524 | 準確率: 0.0674 | 批次時間: 0.117秒
 批次 200/990 | 損失: 3.7421 | 準確率: 0.0685 | 批次時間: 0.655秒
 批次 210/990 | 損失: 3.7311 | 準確率: 0.0694 | 批次時間: 0.117秒
 批次 220/990 | 損失: 3.7232 | 準確率: 0.0705 | 批次時間: 0.117秒
 批次 230/990 | 損失: 3.7167 | 準確率: 0.0708 | 批次時間: 0.117秒
 批次 240/990 | 損失: 3.7087 | 準確率: 0.0715 | 批次時間: 0.117秒
 批次 250/990 | 損失: 3.7023 | 準確率: 0.0721 | 批次時間: 0.117秒
 批次 260/990 | 損失: 3.6947 | 準確率: 0.0730 | 批次時間: 0.118秒
 批次 270/990 | 損失: 3.6863 | 準確率: 0.0740 | 批次時間: 0.118秒
 批次 280/990 | 損失: 3.6799 | 準確率: 0.0742 | 批次時間: 0.118秒
 批次 290/990 | 損失: 3.6738 | 準確率: 0.0752 | 批次時間: 0.118秒
 批次 300/990 | 損失: 3.6672 | 準確率: 0.0758 | 批次時間: 0.650秒
 批次 310/990 | 損失: 3.6624 | 準確率: 0.0765 | 批次時間: 0.118秒
 批次 320/990 | 損失: 3.6552 | 準確率: 0.0769 | 批次時間: 0.118秒
 批次 330/990 | 損失: 3.6494 | 準確率: 0.0774 | 批次時間: 0.118秒
 批次 340/990 | 損失: 3.6454 | 準確率: 0.0772 | 批次時間: 0.118秒
 批次 350/990 | 損失: 3.6390 | 準確率: 0.0778 | 批次時間: 0.118秒
 批次 360/990 | 損失: 3.6316 | 準確率: 0.0787 | 批次時間: 0.118秒
 批次 370/990 | 損失: 3.6232 | 準確率: 0.0796 | 批次時間: 0.118秒
 批次 380/990 | 損失: 3.6155 | 準確率: 0.0805 | 批次時間: 0.118秒
 批次 390/990 | 損失: 3.6087 | 準確率: 0.0816 | 批次時間: 0.118秒
 批次 400/990 | 損失: 3.6015 | 準確率: 0.0820 | 批次時間: 0.648秒
 批次 410/990 | 損失: 3.5953 | 準確率: 0.0829 | 批次時間: 0.118秒
 批次 420/990 | 損失: 3.5873 | 準確率: 0.0840 | 批次時間: 0.118秒
 批次 430/990 | 損失: 3.5811 | 準確率: 0.0845 | 批次時間: 0.118秒
 批次 440/990 | 損失: 3.5745 | 準確率: 0.0847 | 批次時間: 0.119秒
 批次 450/990 | 損失: 3.5676 | 準確率: 0.0859 | 批次時間: 0.119秒
 批次 460/990 | 損失: 3.5613 | 準確率: 0.0864 | 批次時間: 0.119秒
 批次 470/990 | 損失: 3.5538 | 準確率: 0.0874 | 批次時間: 0.119秒
 批次 480/990 | 損失: 3.5481 | 準確率: 0.0882 | 批次時間: 0.119秒
 批次 490/990 | 損失: 3.5424 | 準確率: 0.0890 | 批次時間: 0.119秒
 批次 500/990 | 損失: 3.5369 | 準確率: 0.0895 | 批次時間: 0.643秒
 批次 510/990 | 損失: 3.5300 | 準確率: 0.0908 | 批次時間: 0.119秒
 批次 520/990 | 損失: 3.5237 | 準確率: 0.0920 | 批次時間: 0.119秒
 批次 530/990 | 損失: 3.5184 | 準確率: 0.0927 | 批次時間: 0.119秒
 批次 540/990 | 損失: 3.5116 | 準確率: 0.0938 | 批次時間: 0.119秒
 批次 550/990 | 損失: 3.5060 | 準確率: 0.0945 | 批次時間: 0.119秒
 批次 560/990 | 損失: 3.5014 | 準確率: 0.0949 | 批次時間: 0.119秒
 批次 570/990 | 損失: 3.4957 | 準確率: 0.0954 | 批次時間: 0.119秒
 批次 580/990 | 損失: 3.4915 | 準確率: 0.0961 | 批次時間: 0.119秒
 批次 590/990 | 損失: 3.4861 | 準確率: 0.0969 | 批次時間: 0.119秒
 批次 600/990 | 損失: 3.4820 | 準確率: 0.0976 | 批次時間: 0.649秒
 批次 610/990 | 損失: 3.4778 | 準確率: 0.0984 | 批次時間: 0.119秒
 批次 620/990 | 損失: 3.4724 | 準確率: 0.0991 | 批次時間: 0.119秒
 批次 630/990 | 損失: 3.4676 | 準確率: 0.0999 | 批次時間: 0.119秒
 批次 640/990 | 損失: 3.4638 | 準確率: 0.1005 | 批次時間: 0.119秒
 批次 650/990 | 損失: 3.4591 | 準確率: 0.1012 | 批次時間: 0.119秒
 批次 660/990 | 損失: 3.4528 | 準確率: 0.1023 | 批次時間: 0.119秒
 批次 670/990 | 損失: 3.4480 | 準確率: 0.1028 | 批次時間: 0.119秒
 批次 680/990 | 損失: 3.4435 | 準確率: 0.1036 | 批次時間: 0.119秒
 批次 690/990 | 損失: 3.4382 | 準確率: 0.1048 | 批次時間: 0.119秒
